City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
bulgan,0,MN,1604429969,83,48.81,103.53,26.2,1.25
atbasar,18,KZ,1604429969,94,51.8,68.33,27.66,2.24
kendari,100,ID,1604429969,93,-3.94,122.5,73.63,2.75
port alfred,31,ZA,1604429969,90,-33.59,26.89,66.52,8.41
mataura,0,NZ,1604429970,94,-46.19,168.86,46.0,1.99
atuona,0,PF,1604429970,71,-9.8,-139.03,77.85,18.05
avarua,100,CK,1604429970,83,-21.21,-159.78,75.2,17.34
faya,0,SA,1604429970,87,18.39,42.45,64.4,4.7
rikitea,0,PF,1604429970,70,-23.12,-134.97,72.88,14.94
nkhata bay,37,MW,1604429970,59,-11.61,34.29,78.42,2.04
hauterive,75,FR,1604429970,76,46.09,3.45,50.0,5.82
punta arenas,75,CL,1604429698,76,-53.15,-70.92,51.8,11.41
kapaa,40,US,1604429703,78,22.08,-159.32,80.6,11.41
lagoa,9,PT,1604429971,71,39.05,-27.98,61.81,21.68
longyearbyen,75,SJ,1604429971,80,78.22,15.64,30.2,19.46
jamestown,20,US,1604429971,65,42.1,-79.24,50.0,11.41
port moresby,75,PG,1604429721,88,-9.44,147.18,77.0,3.36
richards bay,100,ZA,1604429805,85,-28.78,32.04,72.25,12.21
vaini,20,TO,1604429704,94,-21.2,-175.2,73.4,9.17
kenai,1,US,1604429760,77,60.55,-151.26,21.99,7.99
barrow,75,US,1604429971,78,71.29,-156.79,10.4,13.87
sojat,0,IN,1604429972,24,25.92,73.67,68.77,4.97
bairiki,40,KI,1604429972,69,1.33,172.98,80.6,12.75
port elizabeth,0,ZA,1604429972,88,-33.92,25.57,66.2,5.82
pevek,50,RU,1604429972,90,69.7,170.31,4.06,10.56
marawi,100,PH,1604429972,85,8.0,124.29,73.99,8.01
chuy,0,UY,1604429972,65,-33.7,-53.46,64.4,12.5
coquimbo,75,CL,1604429972,82,-29.95,-71.34,57.2,13.87
iqaluit,75,CA,1604429972,78,63.75,-68.51,15.8,19.46
albany,77,US,1604429703,61,42.6,-73.97,42.01,1.99
fasa,0,IR,1604429973,28,28.94,53.65,55.4,0.87
college,40,US,1604429698,74,64.86,-147.8,-23.8,3.36
norman wells,75,CA,1604429854,83,65.28,-126.83,-4.0,4.7
pali,0,IN,1604429973,21,25.77,73.33,71.24,4.25
weligama,100,LK,1604429973,88,5.97,80.42,78.26,5.5
rio branco,0,BR,1604429921,49,-9.97,-67.81,91.4,6.93
praia da vitoria,75,PT,1604429973,59,38.73,-27.07,62.6,20.22
port lincoln,100,AU,1604429727,79,-34.73,135.87,57.51,13.6
riberalta,75,BO,1604429973,59,-10.98,-66.1,91.4,2.1
busselton,0,AU,1604429973,73,-33.65,115.33,48.99,9.84
codrington,100,AU,1604429973,93,-38.27,141.97,57.94,7.65
butaritari,6,KI,1604429974,74,3.07,172.79,80.33,17.54
ponta do sol,75,PT,1604429733,72,32.67,-17.1,66.2,16.11
fallon,40,US,1604429974,19,39.47,-118.78,68.0,5.28
japura,100,ID,1604429974,93,-0.32,102.35,74.62,1.21
chulman,100,RU,1604429974,85,56.85,124.91,-6.79,1.14
lasa,75,IT,1604429974,81,46.62,10.7,54.0,1.7
mahebourg,75,MU,1604429687,68,-20.41,57.7,71.6,9.17
cidreira,5,BR,1604429975,64,-30.18,-50.21,66.49,11.95
cedar city,1,US,1604429821,44,37.68,-113.06,60.8,3.36
taoudenni,49,ML,1604429975,16,22.68,-3.98,81.82,5.37
hithadhoo,100,MV,1604429975,73,-0.6,73.08,82.45,7.11
bluff,21,NZ,1604429705,94,-46.6,168.33,46.0,1.99
tiarei,75,PF,1604429975,69,-17.53,-149.33,82.4,10.29
acapulco,5,MX,1604429937,58,16.86,-99.89,87.8,8.05
souillac,75,MU,1604429975,68,-20.52,57.52,71.6,9.17
ribeira grande,40,PT,1604429697,59,38.52,-28.7,62.6,12.75
havre-saint-pierre,40,CA,1604429976,53,50.23,-63.6,26.6,11.41
kalmunai,22,LK,1604429976,80,7.42,81.82,79.57,4.74
hermanus,22,ZA,1604429976,82,-34.42,19.23,68.0,11.88
mar del plata,20,AR,1604429815,72,-38.0,-57.56,66.2,21.92
paoua,12,CF,1604429976,76,7.24,16.44,73.99,3.11
isangel,100,VU,1604429976,83,-19.55,169.27,76.41,11.18
la ronge,97,CA,1604429976,61,55.1,-105.28,46.4,3.36
galle,100,LK,1604429976,83,6.04,80.22,79.79,6.51
mehamn,40,NO,1604429976,75,71.04,27.85,42.8,26.4
saint george,1,US,1604429858,40,37.1,-113.58,79.0,3.36
qaanaaq,4,GL,1604429977,83,77.48,-69.36,4.55,4.7
casablanca,75,MA,1604429977,82,33.59,-7.62,68.0,9.17
kodiak,20,US,1604429697,49,57.79,-152.41,24.8,13.87
torbay,90,CA,1604429977,81,47.67,-52.73,45.0,12.75
ushuaia,75,AR,1604429707,66,-54.8,-68.3,51.8,4.7
port hardy,90,CA,1604429789,93,50.7,-127.42,51.8,17.22
tasiilaq,90,GL,1604429977,98,65.61,-37.64,32.0,27.51
billings,1,US,1604429171,23,45.78,-108.5,64.4,12.75
victoria,100,HK,1604429890,88,22.29,114.16,72.0,8.99
igarka,72,RU,1604429977,93,67.47,86.58,1.72,6.13
badamdar,40,AZ,1604429978,93,40.34,49.8,53.6,2.24
east london,0,ZA,1604429979,88,-33.02,27.91,68.0,6.93
aripuana,98,BR,1604429979,41,-9.17,-60.63,92.44,2.64
murgab,0,TM,1604429979,34,37.5,61.97,51.8,6.51
lebu,4,CL,1604429979,72,-37.62,-73.65,56.8,7.56
lyuban,100,BY,1604429827,82,52.8,28.0,44.82,6.51
ampanihy,0,MG,1604429979,59,-24.7,44.75,76.21,6.08
zaysan,100,KZ,1604429979,84,47.47,84.87,34.63,3.71
camacha,40,PT,1604429980,63,33.08,-16.33,66.2,14.99
sibu,40,MY,1604429980,94,2.3,111.82,75.2,2.24
naze,75,JP,1604429980,63,28.37,129.48,66.2,21.92
genhe,0,CN,1604429980,89,50.78,121.52,4.66,2.89
maromitsa,0,RU,1604429980,93,59.87,48.01,32.95,11.65
siavonga,43,ZM,1604429980,39,-16.54,28.71,86.85,6.08
boa vista,75,BR,1604429720,49,2.82,-60.67,89.6,9.17
hilo,20,US,1604429762,74,19.73,-155.09,78.8,4.7
rudnogorsk,100,RU,1604429980,98,57.26,103.75,22.48,4.25
unity,0,CA,1604429981,42,52.45,-109.17,54.01,6.82
gambela,0,ET,1604429981,75,8.25,34.58,75.72,3.15
nome,90,US,1604429704,85,64.5,-165.41,24.8,8.05
gobabis,45,NA,1604429981,15,-22.45,18.97,81.91,9.4
cockburn town,100,TC,1604429981,80,21.46,-71.14,80.19,13.58
zhigansk,95,RU,1604429756,91,66.77,123.37,0.18,2.93
castro,66,BR,1604429981,41,-24.79,-50.01,71.01,3.94
bambous virieux,75,MU,1604429981,68,-20.34,57.76,71.6,9.17
veraval,0,IN,1604429724,60,20.9,70.37,81.41,2.8
araouane,100,ML,1604429982,13,18.9,-3.53,85.82,6.58
tautira,75,PF,1604429982,69,-17.73,-149.15,82.4,10.29
sabha,7,LY,1604429982,44,27.04,14.43,66.09,4.18
yenangyaung,0,MM,1604429982,85,20.47,94.88,77.05,5.41
bredasdorp,92,ZA,1604429698,82,-34.53,20.04,68.0,5.82
tomarovka,75,RU,1604429982,87,50.68,36.23,48.2,2.24
vao,100,NC,1604429982,88,-22.67,167.48,74.5,3.13
novikovo,15,RU,1604429983,92,51.15,37.89,46.72,3.87
santa rosa,40,PH,1604429820,88,14.31,121.11,80.6,3.36
new norfolk,40,AU,1604429983,55,-42.78,147.06,70.0,5.82
thompson,90,CA,1604429686,92,55.74,-97.86,21.2,3.36
sur,0,OM,1604429983,59,22.57,59.53,70.45,4.99
yerbogachen,100,RU,1604429983,96,61.28,108.01,21.11,8.63
asyut,0,EG,1604429983,39,27.18,31.18,82.4,10.29
eyl,13,SO,1604429983,77,7.98,49.82,79.16,18.59
kyra,100,RU,1604429984,89,49.58,111.98,23.61,3.91
nanortalik,100,GL,1604429722,81,60.14,-45.24,40.3,17.94
chivilcoy,22,AR,1604429984,43,-34.9,-60.02,79.0,13.0
bengkulu,82,ID,1604429984,87,-3.8,102.27,75.78,3.58
narsaq,75,GL,1604429984,60,60.92,-46.05,42.8,23.04
martapura,100,ID,1604429770,92,-3.42,114.85,75.47,0.69
pascagoula,1,US,1604429746,32,30.37,-88.56,71.6,4.7
huarmey,43,PE,1604429984,65,-10.07,-78.15,69.4,9.66
fengzhen,0,CN,1604429985,78,40.44,113.15,31.33,4.47
minggang,0,CN,1604429985,48,32.46,114.05,50.36,1.72
